LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,AVWAGE,TOT,USD,A,1999,46056.21709,
AUS,AVWAGE,TOT,USD,A,2000,46156.00471,
AUS,AVWAGE,TOT,USD,A,2001,46658.38049,
AUS,AVWAGE,TOT,USD,A,2002,46979.50613,
AUS,AVWAGE,TOT,USD,A,2003,47529.08855,
AUS,AVWAGE,TOT,USD,A,2004,49007.97724,
AUS,AVWAGE,TOT,USD,A,2005,49641.47138,
AUS,AVWAGE,TOT,USD,A,2006,49962.5234,
AUS,AVWAGE,TOT,USD,A,2007,51341.25111,
AUS,AVWAGE,TOT,USD,A,2008,51755.30258,
AUS,AVWAGE,TOT,USD,A,2009,51286.04809,
AUS,AVWAGE,TOT,USD,A,2010,53054.72585,
AUS,AVWAGE,TOT,USD,A,2011,54732.88016,
AUS,AVWAGE,TOT,USD,A,2012,55058.21194,
AUS,AVWAGE,TOT,USD,A,2013,54805.62455,
AUS,AVWAGE,TOT,USD,A,2014,55226.3203,
AUS,AVWAGE,TOT,USD,A,2015,54773.99376,
AUS,AVWAGE,TOT,USD,A,2016,54799.8626,
AUS,AVWAGE,TOT,USD,A,2017,54327.04477,
AUS,AVWAGE,TOT,USD,A,2018,54147.4705,
AUS,AVWAGE,TOT,USD,A,2019,54401.4253,
AUT,AVWAGE,TOT,USD,A,1999,48169.25513,
AUT,AVWAGE,TOT,USD,A,2000,48301.77172,
AUT,AVWAGE,TOT,USD,A,2001,48178.32743,
AUT,AVWAGE,TOT,USD,A,2002,48888.5516,
AUT,AVWAGE,TOT,USD,A,2003,49031.32592,
AUT,AVWAGE,TOT,USD,A,2004,49953.36687,
AUT,AVWAGE,TOT,USD,A,2005,50217.15381,
AUT,AVWAGE,TOT,USD,A,2006,50947.05792,
AUT,AVWAGE,TOT,USD,A,2007,51196.64443,
AUT,AVWAGE,TOT,USD,A,2008,52102.64226,
AUT,AVWAGE,TOT,USD,A,2009,52941.09537,
AUT,AVWAGE,TOT,USD,A,2010,52718.89005,
AUT,AVWAGE,TOT,USD,A,2011,52179.37023,
AUT,AVWAGE,TOT,USD,A,2012,52445.89863,
AUT,AVWAGE,TOT,USD,A,2013,52510.3157,
AUT,AVWAGE,TOT,USD,A,2014,52711.04885,
AUT,AVWAGE,TOT,USD,A,2015,53052.21668,
AUT,AVWAGE,TOT,USD,A,2016,53589.1886,
AUT,AVWAGE,TOT,USD,A,2017,53436.61223,
AUT,AVWAGE,TOT,USD,A,2018,53560.92351,
AUT,AVWAGE,TOT,USD,A,2019,53902.94904,
BEL,AVWAGE,TOT,USD,A,1999,51546.10314,
BEL,AVWAGE,TOT,USD,A,2000,51082.82873,
BEL,AVWAGE,TOT,USD,A,2001,51241.6298,
BEL,AVWAGE,TOT,USD,A,2002,52823.82568,
BEL,AVWAGE,TOT,USD,A,2003,53134.35824,
BEL,AVWAGE,TOT,USD,A,2004,52859.09084,
BEL,AVWAGE,TOT,USD,A,2005,52365.14076,
BEL,AVWAGE,TOT,USD,A,2006,52723.44908,
BEL,AVWAGE,TOT,USD,A,2007,52631.20829,
BEL,AVWAGE,TOT,USD,A,2008,52839.61369,
BEL,AVWAGE,TOT,USD,A,2009,53566.17875,
BEL,AVWAGE,TOT,USD,A,2010,53340.90949,
BEL,AVWAGE,TOT,USD,A,2011,53885.52822,
BEL,AVWAGE,TOT,USD,A,2012,54295.4178,
BEL,AVWAGE,TOT,USD,A,2013,54844.54793,
BEL,AVWAGE,TOT,USD,A,2014,55116.60195,
BEL,AVWAGE,TOT,USD,A,2015,54737.03878,
BEL,AVWAGE,TOT,USD,A,2016,54883.6518,
BEL,AVWAGE,TOT,USD,A,2017,54626.06533,
BEL,AVWAGE,TOT,USD,A,2018,55065.81147,
BEL,AVWAGE,TOT,USD,A,2019,55590.13046,
CAN,AVWAGE,TOT,USD,A,1999,42877.79254,
CAN,AVWAGE,TOT,USD,A,2000,44177.81325,
CAN,AVWAGE,TOT,USD,A,2001,43996.98695,
CAN,AVWAGE,TOT,USD,A,2002,43630.12866,
CAN,AVWAGE,TOT,USD,A,2003,43646.42193,
CAN,AVWAGE,TOT,USD,A,2004,44603.9946,
CAN,AVWAGE,TOT,USD,A,2005,45888.28334,
CAN,AVWAGE,TOT,USD,A,2006,47301.95877,
CAN,AVWAGE,TOT,USD,A,2007,48572.59612,
CAN,AVWAGE,TOT,USD,A,2008,49450.13779,
CAN,AVWAGE,TOT,USD,A,2009,49892.58166,
CAN,AVWAGE,TOT,USD,A,2010,49996.23969,
CAN,AVWAGE,TOT,USD,A,2011,50529.90004,
CAN,AVWAGE,TOT,USD,A,2012,51189.03442,
CAN,AVWAGE,TOT,USD,A,2013,51716.62436,
CAN,AVWAGE,TOT,USD,A,2014,52325.34231,
CAN,AVWAGE,TOT,USD,A,2015,52693.64729,
CAN,AVWAGE,TOT,USD,A,2016,51562.73934,
CAN,AVWAGE,TOT,USD,A,2017,52219.39272,
CAN,AVWAGE,TOT,USD,A,2018,52831.4837,
CAN,AVWAGE,TOT,USD,A,2019,53198.17296,
CZE,AVWAGE,TOT,USD,A,1999,16295.81187,
CZE,AVWAGE,TOT,USD,A,2000,16836.35095,
CZE,AVWAGE,TOT,USD,A,2001,17682.55417,
CZE,AVWAGE,TOT,USD,A,2002,18752.99864,
CZE,AVWAGE,TOT,USD,A,2003,20169.95749,
CZE,AVWAGE,TOT,USD,A,2004,21163.65359,
CZE,AVWAGE,TOT,USD,A,2005,21800.63617,
CZE,AVWAGE,TOT,USD,A,2006,22670.72934,
CZE,AVWAGE,TOT,USD,A,2007,23354.16643,
CZE,AVWAGE,TOT,USD,A,2008,23365.30955,
CZE,AVWAGE,TOT,USD,A,2009,23312.13749,
CZE,AVWAGE,TOT,USD,A,2010,23908.77397,
CZE,AVWAGE,TOT,USD,A,2011,24072.4621,
CZE,AVWAGE,TOT,USD,A,2012,24059.61971,
CZE,AVWAGE,TOT,USD,A,2013,23805.67962,
CZE,AVWAGE,TOT,USD,A,2014,24304.04734,
CZE,AVWAGE,TOT,USD,A,2015,24969.52644,
CZE,AVWAGE,TOT,USD,A,2016,25819.17199,
CZE,AVWAGE,TOT,USD,A,2017,26888.62221,
CZE,AVWAGE,TOT,USD,A,2018,28360.36471,
CZE,AVWAGE,TOT,USD,A,2019,29280.78997,
DNK,AVWAGE,TOT,USD,A,1999,45558.58899,
DNK,AVWAGE,TOT,USD,A,2000,45532.48395,
DNK,AVWAGE,TOT,USD,A,2001,45837.00049,
DNK,AVWAGE,TOT,USD,A,2002,46890.28766,
DNK,AVWAGE,TOT,USD,A,2003,48058.11301,
DNK,AVWAGE,TOT,USD,A,2004,49142.86407,
DNK,AVWAGE,TOT,USD,A,2005,49974.89925,
DNK,AVWAGE,TOT,USD,A,2006,50820.49342,
DNK,AVWAGE,TOT,USD,A,2007,51376.26095,
DNK,AVWAGE,TOT,USD,A,2008,52071.60866,
DNK,AVWAGE,TOT,USD,A,2009,53330.64216,
DNK,AVWAGE,TOT,USD,A,2010,53947.17601,
DNK,AVWAGE,TOT,USD,A,2011,53667.73839,
DNK,AVWAGE,TOT,USD,A,2012,53593.47665,
DNK,AVWAGE,TOT,USD,A,2013,53949.03887,
DNK,AVWAGE,TOT,USD,A,2014,54978.22209,
DNK,AVWAGE,TOT,USD,A,2015,55942.62512,
DNK,AVWAGE,TOT,USD,A,2016,56883.11049,
DNK,AVWAGE,TOT,USD,A,2017,56277.32497,
DNK,AVWAGE,TOT,USD,A,2018,56827.52767,
DNK,AVWAGE,TOT,USD,A,2019,57149.59431,
FIN,AVWAGE,TOT,USD,A,1999,37713.84948,
FIN,AVWAGE,TOT,USD,A,2000,38361.2419,
FIN,AVWAGE,TOT,USD,A,2001,38562.91591,
FIN,AVWAGE,TOT,USD,A,2002,38770.89442,
FIN,AVWAGE,TOT,USD,A,2003,39507.72799,
FIN,AVWAGE,TOT,USD,A,2004,40810.96484,
FIN,AVWAGE,TOT,USD,A,2005,41696.93797,
