,Country,Australia,Belgium,Canada,Chile,Colombia,Czech Republic,Estonia,France,Germany,Greece,Hungary,Ireland,Israel,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Poland,Portugal,Slovak Republic,Slovenia,Spain,Turkey,United Kingdom,United States,Costa Rica,Brazil,Russian Federation
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,,10.9,10.9,7.2,1.9,2.1,3.1,1.8,10.1,..,5.7,2.9,7.7,5.5,6.3,3,1.1,2.3,10.9,0.9,10.7,7,3.3,4.7,1.4,5,5.8,3,7.1,7.4,2.9,1.1,0.3
2002,,11,11.1,7.1,1.9,2.1,3.4,2,10.2,..,5.8,3.4,7.7,5.3,6.3,3.3,1.2,2.3,10.8,0.9,10.9,7.1,3.2,4.8,1.5,5.2,5.8,3.2,7.6,7.3,2.8,1.1,0.4
2003,,11.1,11,7,1.9,2.1,3.7,2.3,10.4,..,5.9,3.3,7.8,5.4,6.3,3.5,1.3,2.3,11.2,0.9,11,7.4,3.4,4.7,1.8,5.4,5.7,3.4,7.8,7.2,2.9,1.2,0.4
2004,,11.3,10.9,7.1,2,2.2,3.9,2.5,10.7,..,6,3.2,8.4,5.4,6.3,3.7,1.5,2.6,11.2,0.9,10.9,7.6,3.4,4.7,2,5.6,5.7,4.4,8.2,7,2.8,1.2,0.4
2005,,11.4,10.8,7.1,2,2.2,4.1,2.6,11.2,..,6.1,3.4,8.7,5.3,6.4,4,1.5,2.7,11.5,0.9,10.7,7.8,3.4,4.7,2.1,5.7,6,4.6,8.6,6.7,2.8,1.3,0.5
2006,,11.2,10.8,7.3,2.1,2.2,4.3,2.8,11.4,..,6.3,3.5,8.6,5.5,6.4,4.2,1.6,2.9,11.4,0.9,10.7,8.1,3.6,4.7,2.3,5.8,6.2,4.5,8.8,6.5,2.9,1.4,0.6
2007,,11.6,10.9,7.3,2.1,2.3,4.4,3.2,11.6,..,6.4,3.4,9.1,5.7,6.5,4.6,2.1,3.1,11.6,0.9,10.8,8.7,3.6,4.8,2.5,5.7,6.4,4.5,9,6.7,2.9,1.5,1.2
2008,,11.4,10.9,7.6,2.1,2.3,4.1,3.6,11.6,..,6.6,3.4,9,5.6,6.7,4.7,2.7,3.5,11.5,0.9,10.8,8.9,4.2,5,2.6,5.8,6.4,4.4,9,7.3,3,1.6,1.1
2009,,11.6,11.4,8.1,2.3,2.3,4.1,3.6,11.8,..,6.9,3.4,9.4,5.5,6.9,4.9,3,3.3,11.9,0.9,11.1,9.2,4.6,5.3,2.9,6,6.7,4.6,9.1,8.2,3,1.7,1.8
2010,,11.5,11.2,8.4,2.3,2.4,4,3.5,11.7,..,6.7,3.3,9.5,5.4,7,4.9,3,3.3,11.9,0.9,11.1,9.2,4.6,5.5,3,7.1,6.7,4.6,9,8.5,3.1,1.8,1.7
2011,,11.6,11.1,8.4,2.4,2.4,3.9,3.2,11.7,..,6.5,3.4,9.2,5.4,7.1,4.9,3.2,3.2,11.8,0.9,10.9,9,4.6,5.4,3.1,7.3,6.6,4.7,8.9,8.2,3.1,1.8,1.6
2012,,11.8,11,8.6,2.4,2.4,3.8,3.2,11.8,..,5.2,3.8,9.1,5.5,7.2,5.1,3.1,3.1,11.7,0.9,10.9,9.2,4.9,5.3,3.2,7.3,6.4,4.9,8.8,8.1,3.2,2,1.6
2013,,11.8,11.2,8.6,2.5,2.5,3.8,3.3,11.9,..,5.1,4,9,5.6,7.1,5.4,3,3.2,11.8,0.9,10.7,9.3,5.1,5.3,3.2,7.3,6.4,5,8.8,8,3.2,2,1.7
2014,,11.8,11.2,8.7,2.6,2.5,3.9,3.7,11.9,..,5.2,4.1,9,5.6,7.2,5.7,3.4,3.4,12.2,0.9,10.8,9.5,5.4,5.3,3.2,7.4,6.4,5,8.9,7.8,3.2,2,1.6
2015,,12,11.1,8.8,2.7,2.5,4.3,4.1,12,11.5,5.2,4.3,9,6,7.4,6,3.8,4.2,12.3,1,10.8,9.8,5.7,5.5,3.2,7.4,6.4,5.4,9.1,7.8,3.4,2,1.5
2016,,12.1,11,8.9,2.8,2.5,4.5,4.5,12.1,11.4,5.3,4.5,9.6,6.2,7.6,6.5,3.9,4.8,12.2,1,11,10.1,6,5.7,3.2,7.4,6.5,6.5,9.9,7.7,3.5,2.1,1.5
2017,,12.2,11,9.1,2.9,2.6,5,4.7,12.1,11.7,5.2,5,9.6,6.6,7.8,6.8,3.9,4.8,12.5,1,11,10.2,6.4,5.9,3.2,7.5,6.9,6.3,10,7.6,3.4,2.1,1.8
2018,,12.4,10.9,10.1,3,2.6,5.4,4.9,12,11.5,5.2,5.2,9.9,6.9,8,7.8,4.4,4.9,12.4,1.1,11,10.4,6.6,6.1,3.2,7.7,7.1,6.2,10.2,7.4,3.4,2.1,2.4
2019,,12.6,11,10.2,3.1,2.7,5.8,5.2,12.1,11.8,5.7,5.5,10.1,6.9,..,8.6,4.3,6.7,12.5,1.2,11,11,6.9,6.3,3.2,7.9,8.6,6.7,10.5,7.3,3.5,2.1,2.4
